timestamp,v1,v2,v_wind,h1,h2,z0,TOA_i,ghi,temp_air,rho,pressure,dhi,dni
2005-02-06T13:00:00Z,1.11,1.18,1.19,2,10,6.877699343021959e-05,0.0,0.0,27.800927734375023,1.149986982345581,100166.9609375,0.0,-0.0
2005-02-06T14:00:00Z,1.65,1.77,1.8,2,10,5.6483535445295274e-05,0.0,0.0,27.851403808593773,1.149834394454956,100156.09375,0.0,-0.0
2005-02-06T15:00:00Z,2.17,2.34,2.4,2,10,5.707958189304918e-05,0.0,0.0,27.952630615234398,1.1498806476593018,100176.1953125,0.0,-0.0
2005-02-06T16:00:00Z,2.61,2.84,2.94,2,10,6.788292375858873e-05,0.0,0.0,28.028131103515648,1.1501246690750122,100216.4140625,0.0,-0.0
2005-02-06T17:00:00Z,3.06,3.35,3.5,2,10,8.168139902409166e-05,96.40625,27.4296875,28.094598388671898,1.1505982875823977,100267.6796875,0.0,0.0
2005-02-06T18:00:00Z,3.44,3.8,3.99,2,10,9.60759207373485e-05,415.125,169.5625,28.164514160156273,1.1510512828826904,100324.1640625,0.0,197.11933442917515
2005-02-06T19:00:00Z,3.75,4.16,4.39,2,10,0.00010930815187748522,723.75,361.25,28.229425048828148,1.1513442993164062,100363.8203125,268.8326474741016,258.7469105791796
2005-02-06T20:00:00Z,3.95,4.41,4.66,2,10,0.00011905351129826157,991.5,576.25,28.275231933593773,1.1515305042266846,100387.09375,344.4841687413059,405.0716235173411
2005-02-06T21:00:00Z,4.03,4.49,4.75,2,10,0.0001226893946295604,1200.5,782.25,28.240930175781273,1.1516880989074707,100388.2109375,435.78223729826067,459.2805792395754
2005-02-06T22:00:00Z,4.1,4.58,4.84,2,10,0.0001265636965399608,1336.5,848.0,28.134057617187523,1.1518964767456057,100369.3515625,238.1022630824361,684.2204813103106
2005-02-06T23:00:00Z,4.26,4.76,5.04,2,10,0.0001354149862891063,1390.5,876.25,28.039971923828148,1.1519622802734375,100332.7734375,360.54206971280485,529.5681119708025
2005-02-07T00:00:00Z,4.42,4.95,5.25,2,10,0.0001445344969397411,1358.0,857.5,27.954553222656273,1.1519620418548584,100296.6796875,376.4900838583346,482.89675696577046
2005-02-07T01:00:00Z,4.49,5.03,5.34,2,10,0.0001488260313635692,1242.0,731.25,27.872583007812523,1.1519798040390017,100272.9453125,340.17929903068523,408.7954469582084
2005-02-07T02:00:00Z,4.52,5.06,5.37,2,10,0.00015055456606205553,1049.5,590.75,27.790643310546898,1.1522610187530518,100262.28125,221.62156150054298,430.1443170962662
2005-02-07T03:00:00Z,4.59,5.14,5.46,2,10,0.0001551441237097606,794.5,412.75,27.737939453125023,1.152512788772583,100265.5546875,85.66454299169838,462.4295625485052
2005-02-07T04:00:00Z,4.55,5.09,5.4,2,10,0.00015252151933964342,494.125,223.9375,27.746667480468773,1.152890920639038,100298.5625,116.84786567248554,208.17617701549915
2005-02-07T05:00:00Z,4.33,4.83,5.12,2,10,0.00013964691606815904,168.5625,57.8125,27.753869628906273,1.153606653213501,100368.390625,36.01437244144411,74.50221476343394
2005-02-07T06:00:00Z,4.05,4.49,4.76,2,10,0.00012426891771610826,0.04206852614879608,0.0031595230102539067,27.709558105468773,1.1545945405960083,100440.59375,0.0020586228559726877,0.019339334568698914
2005-02-07T07:00:00Z,3.79,4.18,4.42,2,10,0.00011106648889835923,0.0,0.0,27.687921142578148,1.1552889347076416,100499.1640625,0.0,-0.0
2005-02-07T08:00:00Z,3.59,3.95,4.16,2,10,0.00010200658289249986,0.0,0.0,27.673791503906273,1.1557488441467283,100536.4375,0.0,-0.0
2005-02-07T09:00:00Z,3.44,3.77,3.96,2,10,9.577789751347154e-05,0.0,0.0,27.661828613281273,1.155911207199097,100569.0,0.0,-0.0
2005-02-07T10:00:00Z,3.41,3.74,3.91,2,10,9.500303713139148e-05,0.0,0.0,27.614923095703148,1.1559419631958008,100551.3046875,0.0,-0.0
2005-02-07T11:00:00Z,3.57,3.93,4.1,2,10,0.00010278144327457994,0.0,0.0,27.539971923828148,1.1558291912078855,100501.2109375,0.0,-0.0
2005-02-07T12:00:00Z,3.91,4.33,4.52,2,10,0.00011958995310124008,0.0,0.0,27.472070312500023,1.155612230300903,100449.8046875,0.0,-0.0
2005-02-07T13:00:00Z,4.32,4.8,5.04,2,10,0.0001417926832800731,0.0,0.0,27.456842041015648,1.1556075811386108,100419.2421875,0.0,-0.0
2005-02-07T14:00:00Z,4.66,5.2,5.49,2,10,0.0001623562857275829,0.0,0.0,27.458276367187523,1.155846357345581,100422.3125,0.0,-0.0
2005-02-07T15:00:00Z,4.89,5.48,5.8,2,10,0.00017749586550053212,0.0,0.0,27.483636474609398,1.156243085861206,100431.609375,0.0,-0.0
2005-02-07T16:00:00Z,4.93,5.53,5.86,2,10,0.00018089333025272938,0.0,0.0,27.474572753906273,1.1567566394805908,100455.625,0.0,-0.0
2005-02-07T17:00:00Z,4.77,5.33,5.64,2,10,0.00016992607561405748,94.46875762939452,44.0625,27.445092773437523,1.1573808193206787,100474.21875,0.0,0.0
2005-02-07T18:00:00Z,4.52,5.03,5.3,2,10,0.00015353479830082506,412.875,257.5,27.412744140625023,1.1578915119171145,100495.7421875,0.0,191.5364115211309
2005-02-07T19:00:00Z,4.28,4.74,4.99,2,10,0.0001392296835547313,721.75,506.375,27.400018310546898,1.1579278707504272,100487.578125,0.0,636.8453019901589
2005-02-07T20:00:00Z,4.05,4.47,4.7,2,10,0.00012617626634892076,990.0,740.75,27.418084716796898,1.1576988697052002,100466.7734375,548.7977484863102,336.22941847616767
2005-02-07T21:00:00Z,3.88,4.27,4.48,2,10,0.00011723556963261216,1199.5,926.75,27.442529296875023,1.1572103500366209,100448.59375,588.9556646055385,448.3518135800901
2005-02-07T22:00:00Z,3.75,4.11,4.31,2,10,0.00011044064012821765,1335.5,1048.0,27.468408203125023,1.1566808223724363,100424.609375,618.6273604530586,482.0801261313236
